SDR	7.1.1
09/07/2012 13:10:00	8.2	1.8																							225								-123.5															
09/07/2012 13:20:00	6.5	1.7																							225								-123.5															
09/07/2012 13:30:00	6.2	1.6																							225								-123.5															
09/07/2012 13:40:00	6.4	1.7																							225								-123.5															
09/07/2012 13:50:00	5.9	1.8																							202								-123.5															
09/07/2012 14:00:00	6.0	1.6																							225								-123.5															
09/07/2012 14:10:00	5.5	1.4																							225								-123.5															
09/07/2012 14:20:00	5.0	1.4																							225								-123.5															
09/07/2012 14:30:00	6.7	1.7																							225								-123.5															
09/07/2012 14:40:00	6.3	1.6																							225								-123.5															
09/07/2012 14:50:00	6.4	1.1																							248								-123.5															
09/07/2012 15:00:00	5.5	1.3																							225								-123.5															
09/07/2012 15:10:00	5.5	1.2																							248								-123.5															
09/07/2012 15:20:00	5.8	1.0																							248								-123.5															
09/07/2012 15:30:00	6.6	1.1																							248								-123.5															
09/07/2012 15:40:00	4.8	0.8																							270								-123.5															
09/07/2012 15:50:00	3.5	0.7																							270								-123.5															
09/07/2012 16:00:00	3.4	0.5																							292								-123.5															
09/07/2012 16:10:00	3.3	0.6																							292								-123.5															
09/07/2012 16:20:00	2.8	0.6																							292								-123.5															
09/07/2012 16:30:00	3.3	0.6																							270								-123.5															
09/07/2012 16:40:00	4.3	1.0																							270								-123.5															
09/07/2012 16:50:00	5.4	1.1																							292								-123.5															
09/07/2012 17:00:00	5.2	0.9																							292								-123.5															
09/07/2012 17:10:00	3.7	1.7																							292								-123.5															
09/07/2012 17:20:00	5.8	0.8																							270								-123.5															
09/07/2012 17:30:00	6.9	0.8																							270								-123.5															
09/07/2012 17:40:00	6.4	1.3																							292								-123.5															
09/07/2012 17:50:00	7.1	1.1																							292								-123.5															
09/07/2012 18:00:00	7.9	1.2																							292								-123.5															
09/07/2012 18:10:00	6.1	1.3																							292								-123.5															
09/07/2012 18:20:00	5.4	0.7																							292								-123.5															
09/07/2012 18:30:00	5.8	0.9																							270								-123.5															
09/07/2012 18:40:00	5.6	1.0																							270								-123.5															
09/07/2012 18:50:00	5.8	0.9																							248								-123.5															
09/07/2012 19:00:00	4.4	1.3																							225								-123.5															
09/07/2012 19:10:00	6.5	1.1																							225								-123.5															
09/07/2012 19:20:00	6.3	1.3																							225								-123.5															
09/07/2012 19:30:00	6.6	1.1																							225								-123.5															
09/07/2012 19:40:00	6.0	1.4																							225								-123.5															
09/07/2012 19:50:00	6.3	1.1																							225								-123.5															
09/07/2012 20:00:00	6.3	1.0																							225								-123.5															
09/07/2012 20:10:00	6.2	1.0																							225								-123.5															
09/07/2012 20:20:00	4.6	1.3																							248								-123.5															
09/07/2012 20:30:00	2.8	0.6																							248								-123.5															
09/07/2012 20:40:00	2.9	0.8																							248								-123.5															
09/07/2012 20:50:00	3.9	0.5																							248								-123.5															
09/07/2012 21:00:00	6.2	0.9																							270								-123.5															
09/07/2012 21:10:00	8.1	0.9																							270								-123.5															
09/07/2012 21:20:00	8.1	1.2																							270								-123.5															
09/07/2012 21:30:00	7.5	1.0																							292								-123.5															
09/07/2012 21:40:00	6.8	0.8																							292								-123.5															
09/07/2012 21:50:00	5.3	0.9																							292								-123.5															
09/07/2012 22:00:00	2.5	1.4																							292								-123.5															
09/07/2012 22:10:00	0.8	0.1																							315								-123.5															
09/07/2012 22:20:00	1.1	0.8																							292								-123.5															
09/07/2012 22:30:00	2.9	1.6																							270								-123.5															
09/07/2012 22:40:00	5.2	1.2																							248								-123.5															
09/07/2012 22:50:00	4.3	1.1																							225								-123.5															
09/07/2012 23:00:00	3.1	1.4																							225								-123.5															
09/07/2012 23:10:00	7.0	1.4																							225								-123.5															
09/07/2012 23:20:00	7.1	1.2																							225								-123.5															
09/07/2012 23:30:00	5.8	1.3																							225								-123.5															
09/07/2012 23:40:00	4.3	1.0																							225								-123.5															
09/07/2012 23:50:00	4.4	0.8																							248								-123.5															
09/08/2012 00:00:00	5.2	0.6																							248								-123.5															
09/08/2012 00:10:00	5.4	0.9																							248								-123.5															
09/08/2012 00:20:00	6.3	0.9																							202								-123.5															
09/08/2012 00:30:00	5.1	1.1																							225								-123.5															
09/08/2012 00:40:00	5.4	1.1																							225								-123.5															
09/08/2012 00:50:00	5.8	1.1																							248								-123.5															
09/08/2012 01:00:00	3.5	1.3																							225								-123.5															
09/08/2012 01:10:00	3.4	1.0																							225								-123.5															
09/08/2012 01:20:00	2.4	0.8																							248								-123.5															
09/08/2012 01:30:00	2.7	0.6																							248								-123.5															
09/08/2012 01:40:00	2.6	0.9																							270								-123.5															
09/08/2012 01:50:00	2.7	0.5																							270								-123.5															
09/08/2012 02:00:00	3.8	0.6																							248								-123.5															
09/08/2012 02:10:00	4.1	0.8																							248								-123.5															
09/08/2012 02:20:00	4.6	0.9																							248								-123.5															
09/08/2012 02:30:00	5.1	1.2																							248								-123.5															
09/08/2012 02:40:00	6.2	1.2																							225								-123.5															
